CSD,Period,IndicatorSummaryDescription,Count
Starland County,2001,Cattle and Calves (number of),0
Starland County,2006,Cattle and Calves (number of),34341
Starland County,2011,Cattle and Calves (number of),35178
Starland County,2016,Cattle and Calves (number of),54027
Starland County,2021,Cattle and Calves (number of),33028
Kneehill County,2021,Cattle and Calves (number of),146438
Kneehill County,2001,Cattle and Calves (number of),0
Kneehill County,2006,Cattle and Calves (number of),126025
Kneehill County,2011,Cattle and Calves (number of),81577
Kneehill County,2016,Cattle and Calves (number of),125417
Warner County No. 5,2001,Cattle and Calves (number of),0
Warner County No. 5,2006,Cattle and Calves (number of),109253
Warner County No. 5,2011,Cattle and Calves (number of),91109
Warner County No. 5,2016,Cattle and Calves (number of),86445
Warner County No. 5,2021,Cattle and Calves (number of),89959
Wainwright No. 61,2021,Cattle and Calves (number of),72090
Wainwright No. 61,2001,Cattle and Calves (number of),0
Wainwright No. 61,2006,Cattle and Calves (number of),99236
Wainwright No. 61,2011,Cattle and Calves (number of),67453
Wainwright No. 61,2016,Cattle and Calves (number of),84352
Red Deer County,2001,Cattle and Calves (number of),0
Red Deer County,2006,Cattle and Calves (number of),212507
Red Deer County,2011,Cattle and Calves (number of),145351
Red Deer County,2016,Cattle and Calves (number of),136435
Red Deer County,2021,Cattle and Calves (number of),135787
Wheatland County,2021,Cattle and Calves (number of),172386
Wheatland County,2001,Cattle and Calves (number of),0
Wheatland County,2006,Cattle and Calves (number of),206252
Wheatland County,2011,Cattle and Calves (number of),162218
Wheatland County,2016,Cattle and Calves (number of),150167
Stettler County No. 6,2001,Cattle and Calves (number of),0
Stettler County No. 6,2006,Cattle and Calves (number of),119135
Stettler County No. 6,2011,Cattle and Calves (number of),109585
Stettler County No. 6,2016,Cattle and Calves (number of),122459
Stettler County No. 6,2021,Cattle and Calves (number of),131015
Lacombe County,2021,Cattle and Calves (number of),102532
Lacombe County,2001,Cattle and Calves (number of),0
Lacombe County,2006,Cattle and Calves (number of),137017
Lacombe County,2011,Cattle and Calves (number of),105531
Lacombe County,2016,Cattle and Calves (number of),101636
Flagstaff County,2001,Cattle and Calves (number of),0
Flagstaff County,2006,Cattle and Calves (number of),91143
Flagstaff County,2011,Cattle and Calves (number of),57095
Flagstaff County,2016,Cattle and Calves (number of),59674
Flagstaff County,2021,Cattle and Calves (number of),66026
Paintearth County No. 18,2021,Cattle and Calves (number of),74447
Paintearth County No. 18,2001,Cattle and Calves (number of),0
Paintearth County No. 18,2006,Cattle and Calves (number of),78726
Paintearth County No. 18,2011,Cattle and Calves (number of),70016
Paintearth County No. 18,2016,Cattle and Calves (number of),70618
Camrose County,2001,Cattle and Calves (number of),0
Camrose County,2006,Cattle and Calves (number of),93652
Camrose County,2011,Cattle and Calves (number of),62128
Camrose County,2016,Cattle and Calves (number of),58817
Camrose County,2021,Cattle and Calves (number of),60720
Edmonton,2021,Cattle and Calves (number of),3882
Edmonton,2001,Cattle and Calves (number of),0
Edmonton,2006,Cattle and Calves (number of),3786
Edmonton,2011,Cattle and Calves (number of),185
Edmonton,2016,Cattle and Calves (number of),2829
Cardston County,2001,Cattle and Calves (number of),0
Cardston County,2006,Cattle and Calves (number of),92553
Cardston County,2011,Cattle and Calves (number of),87868
Cardston County,2016,Cattle and Calves (number of),117090
Cardston County,2021,Cattle and Calves (number of),85272
Newell County,2021,Cattle and Calves (number of),235200
Newell County,2001,Cattle and Calves (number of),0
Newell County,2006,Cattle and Calves (number of),259913
Newell County,2011,Cattle and Calves (number of),146139
Newell County,2016,Cattle and Calves (number of),197411
Ponoka County,2001,Cattle and Calves (number of),0
Ponoka County,2006,Cattle and Calves (number of),169425
Ponoka County,2011,Cattle and Calves (number of),123530
Ponoka County,2016,Cattle and Calves (number of),130737
Ponoka County,2021,Cattle and Calves (number of),144208
Lac la Biche County,2021,Cattle and Calves (number of),20995
Lac la Biche County,2001,Cattle and Calves (number of),0
Lac la Biche County,2006,Cattle and Calves (number of),35606
Lac la Biche County,2011,Cattle and Calves (number of),18018
Lac la Biche County,2016,Cattle and Calves (number of),21192
Clearwater County,2001,Cattle and Calves (number of),0
Clearwater County,2006,Cattle and Calves (number of),111878
Clearwater County,2011,Cattle and Calves (number of),78471
Clearwater County,2016,Cattle and Calves (number of),67364
Clearwater County,2021,Cattle and Calves (number of),69486
Minburn County No. 27,2021,Cattle and Calves (number of),49464
Minburn County No. 27,2001,Cattle and Calves (number of),0
Minburn County No. 27,2006,Cattle and Calves (number of),63148
Minburn County No. 27,2011,Cattle and Calves (number of),88953
Minburn County No. 27,2016,Cattle and Calves (number of),72964
Westlock County,2001,Cattle and Calves (number of),0
Westlock County,2006,Cattle and Calves (number of),107854
Westlock County,2011,Cattle and Calves (number of),76996
Westlock County,2016,Cattle and Calves (number of),70139
Westlock County,2021,Cattle and Calves (number of),72947
Woodlands County,2021,Cattle and Calves (number of),18140
Woodlands County,2001,Cattle and Calves (number of),0
Woodlands County,2006,Cattle and Calves (number of),23969
Woodlands County,2011,Cattle and Calves (number of),21676
Woodlands County,2016,Cattle and Calves (number of),18284
Barrhead County No. 11,2001,Cattle and Calves (number of),0
Barrhead County No. 11,2006,Cattle and Calves (number of),114625
Barrhead County No. 11,2011,Cattle and Calves (number of),79631
Barrhead County No. 11,2016,Cattle and Calves (number of),76496
Barrhead County No. 11,2021,Cattle and Calves (number of),81494
Beaver County,2021,Cattle and Calves (number of),49440
Beaver County,2001,Cattle and Calves (number of),0
Beaver County,2006,Cattle and Calves (number of),65224
Beaver County,2011,Cattle and Calves (number of),47803
Beaver County,2016,Cattle and Calves (number of),47768
Forty Mile County No. 8,2001,Cattle and Calves (number of),0
Forty Mile County No. 8,2006,Cattle and Calves (number of),79314
Forty Mile County No. 8,2011,Cattle and Calves (number of),61778
Forty Mile County No. 8,2016,Cattle and Calves (number of),64180
Forty Mile County No. 8,2021,Cattle and Calves (number of),59807
Cypress County,2021,Cattle and Calves (number of),157958
Cypress County,2001,Cattle and Calves (number of),0
Cypress County,2006,Cattle and Calves (number of),149211
Cypress County,2011,Cattle and Calves (number of),150008
Cypress County,2016,Cattle and Calves (number of),167797
Willow Creek No. 26,2001,Cattle and Calves (number of),0
Willow Creek No. 26,2006,Cattle and Calves (number of),173389
Willow Creek No. 26,2011,Cattle and Calves (number of),176664
Willow Creek No. 26,2016,Cattle and Calves (number of),188873
Willow Creek No. 26,2021,Cattle and Calves (number of),183444
Lethbridge County,2021,Cattle and Calves (number of),778575
Lethbridge County,2001,Cattle and Calves (number of),0
Lethbridge County,2006,Cattle and Calves (number of),526678
Lethbridge County,2011,Cattle and Calves (number of),427602
Lethbridge County,2016,Cattle and Calves (number of),543566
"Taber, M.D.",2001,Cattle and Calves (number of),0
"Taber, M.D.",2006,Cattle and Calves (number of),151043
"Taber, M.D.",2011,Cattle and Calves (number of),268135
"Taber, M.D.",2016,Cattle and Calves (number of),196258
"Taber, M.D.",2021,Cattle and Calves (number of),111668
Pincher Creek No. 9,2021,Cattle and Calves (number of),92986
Pincher Creek No. 9,2001,Cattle and Calves (number of),0
Pincher Creek No. 9,2006,Cattle and Calves (number of),111058
Pincher Creek No. 9,2011,Cattle and Calves (number of),100249
Pincher Creek No. 9,2016,Cattle and Calves (number of),88080
Special Area No. 2,2001,Cattle and Calves (number of),0
Special Area No. 2,2006,Cattle and Calves (number of),184927
Special Area No. 2,2011,Cattle and Calves (number of),143357
Special Area No. 2,2016,Cattle and Calves (number of),138620
Special Area No. 2,2021,Cattle and Calves (number of),139198
Special Area No. 3,2021,Cattle and Calves (number of),71572
Special Area No. 3,2001,Cattle and Calves (number of),0
Special Area No. 3,2006,Cattle and Calves (number of),84160
Special Area No. 3,2011,Cattle and Calves (number of),76075
Special Area No. 3,2016,Cattle and Calves (number of),68887
Special Area No. 4,2001,Cattle and Calves (number of),0
Special Area No. 4,2006,Cattle and Calves (number of),81451
Special Area No. 4,2011,Cattle and Calves (number of),87622
Special Area No. 4,2016,Cattle and Calves (number of),90272
Special Area No. 4,2021,Cattle and Calves (number of),87330
Vulcan County,2021,Cattle and Calves (number of),84016
Vulcan County,2001,Cattle and Calves (number of),0
Vulcan County,2006,Cattle and Calves (number of),171969
Vulcan County,2011,Cattle and Calves (number of),197851
Vulcan County,2016,Cattle and Calves (number of),191944
Foothills County,2001,Cattle and Calves (number of),0
Foothills County,2006,Cattle and Calves (number of),137822
Foothills County,2011,Cattle and Calves (number of),122852
Foothills County,2016,Cattle and Calves (number of),124409
Foothills County,2021,Cattle and Calves (number of),162603
Rocky View County,2021,Cattle and Calves (number of),126545
Rocky View County,2001,Cattle and Calves (number of),0
Rocky View County,2006,Cattle and Calves (number of),166269
Rocky View County,2011,Cattle and Calves (number of),134798
Rocky View County,2016,Cattle and Calves (number of),120371
Calgary,2001,Cattle and Calves (number of),0
Calgary,2006,Cattle and Calves (number of),7689
Calgary,2011,Cattle and Calves (number of),634
Calgary,2016,Cattle and Calves (number of),9245
Calgary,2021,Cattle and Calves (number of),10217
Mountain View County,2021,Cattle and Calves (number of),121604
Mountain View County,2001,Cattle and Calves (number of),0
Mountain View County,2006,Cattle and Calves (number of),182201
Mountain View County,2011,Cattle and Calves (number of),120108
Mountain View County,2016,Cattle and Calves (number of),105821
Provost No. 52,2001,Cattle and Calves (number of),0
Provost No. 52,2006,Cattle and Calves (number of),100697
Provost No. 52,2011,Cattle and Calves (number of),95383
Provost No. 52,2016,Cattle and Calves (number of),99560
Provost No. 52,2021,Cattle and Calves (number of),97499
Smoky River No. 130,2021,Cattle and Calves (number of),11469
Smoky River No. 130,2001,Cattle and Calves (number of),0
Smoky River No. 130,2006,Cattle and Calves (number of),13930
Smoky River No. 130,2011,Cattle and Calves (number of),8939
Smoky River No. 130,2016,Cattle and Calves (number of),6264
Vermilion River County,2001,Cattle and Calves (number of),0
Vermilion River County,2006,Cattle and Calves (number of),177348
Vermilion River County,2011,Cattle and Calves (number of),145407
Vermilion River County,2016,Cattle and Calves (number of),131376
Vermilion River County,2021,Cattle and Calves (number of),152591
Northern Sunrise County,2021,Cattle and Calves (number of),8854
Northern Sunrise County,2001,Cattle and Calves (number of),0
Northern Sunrise County,2006,Cattle and Calves (number of),10897
Northern Sunrise County,2011,Cattle and Calves (number of),8930
Northern Sunrise County,2016,Cattle and Calves (number of),5712
Big Lakes County,2001,Cattle and Calves (number of),0
Big Lakes County,2006,Cattle and Calves (number of),44097
Big Lakes County,2011,Cattle and Calves (number of),31362
Big Lakes County,2016,Cattle and Calves (number of),27930
Big Lakes County,2021,Cattle and Calves (number of),29723
Lac Ste. Anne County,2021,Cattle and Calves (number of),72156
Lac Ste. Anne County,2001,Cattle and Calves (number of),0
Lac Ste. Anne County,2006,Cattle and Calves (number of),95525
Lac Ste. Anne County,2011,Cattle and Calves (number of),70511
Lac Ste. Anne County,2016,Cattle and Calves (number of),64912
Birch Hills County,2001,Cattle and Calves (number of),0
Birch Hills County,2006,Cattle and Calves (number of),22955
Birch Hills County,2011,Cattle and Calves (number of),20432
Birch Hills County,2016,Cattle and Calves (number of),12783
Birch Hills County,2021,Cattle and Calves (number of),11195
Spirit River No. 133,2021,Cattle and Calves (number of),6642
Spirit River No. 133,2001,Cattle and Calves (number of),0
Spirit River No. 133,2006,Cattle and Calves (number of),6187
Spirit River No. 133,2011,Cattle and Calves (number of),1678
Spirit River No. 133,2016,Cattle and Calves (number of),3184
Saddle Hills County,2001,Cattle and Calves (number of),0
Saddle Hills County,2006,Cattle and Calves (number of),36193
Saddle Hills County,2011,Cattle and Calves (number of),27673
Saddle Hills County,2016,Cattle and Calves (number of),26429
Saddle Hills County,2021,Cattle and Calves (number of),25414
Fairview No. 136,2021,Cattle and Calves (number of),6383
Fairview No. 136,2001,Cattle and Calves (number of),0
Fairview No. 136,2006,Cattle and Calves (number of),20265
Fairview No. 136,2011,Cattle and Calves (number of),7393
Fairview No. 136,2016,Cattle and Calves (number of),7482
Brazeau County,2001,Cattle and Calves (number of),0
Brazeau County,2006,Cattle and Calves (number of),39461
Brazeau County,2011,Cattle and Calves (number of),28738
Brazeau County,2016,Cattle and Calves (number of),26184
Brazeau County,2021,Cattle and Calves (number of),29669
Parkland County,2021,Cattle and Calves (number of),53564
Parkland County,2001,Cattle and Calves (number of),0
Parkland County,2006,Cattle and Calves (number of),68709
Parkland County,2011,Cattle and Calves (number of),45353
Parkland County,2016,Cattle and Calves (number of),47134
Strathcona County,2001,Cattle and Calves (number of),0
Strathcona County,2006,Cattle and Calves (number of),24125
Strathcona County,2011,Cattle and Calves (number of),14781
Strathcona County,2016,Cattle and Calves (number of),14845
Strathcona County,2021,Cattle and Calves (number of),18979
Sturgeon County,2021,Cattle and Calves (number of),32279
Sturgeon County,2001,Cattle and Calves (number of),0
Sturgeon County,2006,Cattle and Calves (number of),47324
Sturgeon County,2011,Cattle and Calves (number of),27184
Sturgeon County,2016,Cattle and Calves (number of),32532
Mackenzie County,2001,Cattle and Calves (number of),0
Mackenzie County,2006,Cattle and Calves (number of),20605
Mackenzie County,2011,Cattle and Calves (number of),16701
Mackenzie County,2016,Cattle and Calves (number of),15049
Mackenzie County,2021,Cattle and Calves (number of),21613
Clear Hills,2021,Cattle and Calves (number of),38335
Clear Hills,2001,Cattle and Calves (number of),0
Clear Hills,2006,Cattle and Calves (number of),34634
Clear Hills,2011,Cattle and Calves (number of),22149
Clear Hills,2016,Cattle and Calves (number of),26732
Greenview No. 16,2001,Cattle and Calves (number of),0
Greenview No. 16,2006,Cattle and Calves (number of),65731
Greenview No. 16,2011,Cattle and Calves (number of),43505
Greenview No. 16,2016,Cattle and Calves (number of),41121
Greenview No. 16,2021,Cattle and Calves (number of),48992
Grande Prairie County No. 1,2021,Cattle and Calves (number of),72024
Grande Prairie County No. 1,2001,Cattle and Calves (number of),0
Grande Prairie County No. 1,2006,Cattle and Calves (number of),77884
Grande Prairie County No. 1,2011,Cattle and Calves (number of),65055
Grande Prairie County No. 1,2016,Cattle and Calves (number of),68654
Bonnyville No. 87,2001,Cattle and Calves (number of),0
Bonnyville No. 87,2006,Cattle and Calves (number of),94119
Bonnyville No. 87,2011,Cattle and Calves (number of),63418
Bonnyville No. 87,2016,Cattle and Calves (number of),60842
Bonnyville No. 87,2021,Cattle and Calves (number of),65363
St. Paul County No. 19,2021,Cattle and Calves (number of),95629
St. Paul County No. 19,2001,Cattle and Calves (number of),0
St. Paul County No. 19,2006,Cattle and Calves (number of),109822
St. Paul County No. 19,2011,Cattle and Calves (number of),87338
St. Paul County No. 19,2016,Cattle and Calves (number of),78674
Smoky Lake County,2001,Cattle and Calves (number of),0
Smoky Lake County,2006,Cattle and Calves (number of),56476
Smoky Lake County,2011,Cattle and Calves (number of),41371
Smoky Lake County,2016,Cattle and Calves (number of),39031
Smoky Lake County,2021,Cattle and Calves (number of),41506
Peace No. 135,2021,Cattle and Calves (number of),11807
Peace No. 135,2001,Cattle and Calves (number of),0
Peace No. 135,2006,Cattle and Calves (number of),15897
Peace No. 135,2011,Cattle and Calves (number of),8511
Peace No. 135,2016,Cattle and Calves (number of),7621
Crowsnest Pass,2001,Cattle and Calves (number of),0
Crowsnest Pass,2006,Cattle and Calves (number of),176
Bighorn No. 8,2016,Cattle and Calves (number of),6874
Bighorn No. 8,2001,Cattle and Calves (number of),0
Bighorn No. 8,2006,Cattle and Calves (number of),4796
Bighorn No. 8,2011,Cattle and Calves (number of),7516
Bighorn No. 8,2021,Cattle and Calves (number of),0
Improvement District No. 12 Jasper Park,2011,Cattle and Calves (number of),0
Improvement District No. 12 Jasper Park,2016,Cattle and Calves (number of),0
Improvement District No. 12 Jasper Park,2021,Cattle and Calves (number of),0
Ranchland No. 66,2021,Cattle and Calves (number of),10864
Ranchland No. 66,2001,Cattle and Calves (number of),0
Ranchland No. 66,2006,Cattle and Calves (number of),19477
Ranchland No. 66,2011,Cattle and Calves (number of),14364
Ranchland No. 66,2016,Cattle and Calves (number of),17953
Wood Buffalo,2021,Cattle and Calves (number of),0
Improvement District No. 24 Wood Buffalo,2021,Cattle and Calves (number of),0
Leduc County,2021,Cattle and Calves (number of),60800
Leduc County,2001,Cattle and Calves (number of),0
Leduc County,2006,Cattle and Calves (number of),90850
Leduc County,2011,Cattle and Calves (number of),60388
Leduc County,2016,Cattle and Calves (number of),57879
Wetaskiwin County No. 10,2001,Cattle and Calves (number of),0
Wetaskiwin County No. 10,2006,Cattle and Calves (number of),111772
Wetaskiwin County No. 10,2011,Cattle and Calves (number of),75652
Wetaskiwin County No. 10,2016,Cattle and Calves (number of),72727
Wetaskiwin County No. 10,2021,Cattle and Calves (number of),67603
Northern Lights County,2021,Cattle and Calves (number of),25558
Northern Lights County,2001,Cattle and Calves (number of),0
Northern Lights County,2006,Cattle and Calves (number of),34737
Northern Lights County,2011,Cattle and Calves (number of),18662
Northern Lights County,2016,Cattle and Calves (number of),26552
Thorhild County,2001,Cattle and Calves (number of),0
Thorhild County,2006,Cattle and Calves (number of),37493
Thorhild County,2011,Cattle and Calves (number of),28723
Thorhild County,2016,Cattle and Calves (number of),19932
Thorhild County,2021,Cattle and Calves (number of),23755
Athabasca County,2021,Cattle and Calves (number of),48465
Athabasca County,2001,Cattle and Calves (number of),0
Athabasca County,2006,Cattle and Calves (number of),84879
Athabasca County,2011,Cattle and Calves (number of),49362
Athabasca County,2016,Cattle and Calves (number of),49410
Lesser Slave River No.124,2001,Cattle and Calves (number of),0
Lesser Slave River No.124,2006,Cattle and Calves (number of),16275
Lesser Slave River No.124,2011,Cattle and Calves (number of),11757
Lesser Slave River No.124,2016,Cattle and Calves (number of),10258
Lesser Slave River No.124,2021,Cattle and Calves (number of),10104
Lamont County,2021,Cattle and Calves (number of),28541
Lamont County,2001,Cattle and Calves (number of),0
Lamont County,2006,Cattle and Calves (number of),52690
Lamont County,2011,Cattle and Calves (number of),35703
Lamont County,2016,Cattle and Calves (number of),43104
Two Hills County No. 21,2001,Cattle and Calves (number of),0
Two Hills County No. 21,2006,Cattle and Calves (number of),92910
Two Hills County No. 21,2011,Cattle and Calves (number of),40311
Two Hills County No. 21,2016,Cattle and Calves (number of),37304
Two Hills County No. 21,2021,Cattle and Calves (number of),64564
Yellowhead County,2021,Cattle and Calves (number of),60209
Yellowhead County,2001,Cattle and Calves (number of),0
Yellowhead County,2006,Cattle and Calves (number of),77731
Yellowhead County,2011,Cattle and Calves (number of),56111
Yellowhead County,2016,Cattle and Calves (number of),0
