CSD,Period,Crop Type,Count
Starland County,2006,Barley,74158
Starland County,2011,Barley,58694
Starland County,2016,Barley,78553
Starland County,2021,Barley,77908
Kneehill County,2006,Barley,145640
Kneehill County,2011,Barley,131926
Kneehill County,2016,Barley,139834
Kneehill County,2021,Barley,134097
Warner County No. 5,2006,Barley,108827
Warner County No. 5,2011,Barley,103801
Warner County No. 5,2016,Barley,91844
Warner County No. 5,2021,Barley,107064
Wainwright No. 61,2006,Barley,69559
Wainwright No. 61,2011,Barley,52567
Wainwright No. 61,2016,Barley,48738
Wainwright No. 61,2021,Barley,57077
Red Deer County,2006,Barley,163593
Red Deer County,2011,Barley,163446
Red Deer County,2016,Barley,150080
Red Deer County,2021,Barley,144768
Wheatland County,2006,Barley,161634
Wheatland County,2011,Barley,146258
Wheatland County,2016,Barley,152705
Wheatland County,2021,Barley,164634
Stettler County No. 6,2006,Barley,76780
Stettler County No. 6,2011,Barley,77925
Stettler County No. 6,2016,Barley,80386
Stettler County No. 6,2021,Barley,97709
Lacombe County,2006,Barley,103488
Lacombe County,2011,Barley,111902
Lacombe County,2016,Barley,89475
Lacombe County,2021,Barley,108333
Flagstaff County,2006,Barley,95499
Flagstaff County,2011,Barley,81926
Flagstaff County,2016,Barley,84591
Flagstaff County,2021,Barley,99362
Paintearth County No. 18,2006,Barley,41964
Paintearth County No. 18,2011,Barley,43339
Paintearth County No. 18,2016,Barley,34695
Paintearth County No. 18,2021,Barley,35018
Camrose County,2006,Barley,83074
Camrose County,2011,Barley,82276
Camrose County,2016,Barley,103574
Camrose County,2021,Barley,106052
Edmonton,2006,Barley,5609
Edmonton,2011,Barley,662
Edmonton,2016,Barley,4060
Edmonton,2021,Barley,5263
Cardston County,2006,Barley,182329
Cardston County,2011,Barley,120774
Cardston County,2016,Barley,88655
Cardston County,2021,Barley,81590
Newell County,2006,Barley,48233
Newell County,2011,Barley,44869
Newell County,2016,Barley,44051
Newell County,2021,Barley,53510
Ponoka County,2006,Barley,77534
Ponoka County,2011,Barley,81853
Ponoka County,2016,Barley,73818
Ponoka County,2021,Barley,72345
Lac la Biche County,2006,Barley,6441
Lac la Biche County,2011,Barley,4978
Lac la Biche County,2016,Barley,6070
Lac la Biche County,2021,Barley,6449
Clearwater County,2006,Barley,21053
Clearwater County,2011,Barley,29209
Clearwater County,2016,Barley,21237
Clearwater County,2021,Barley,21773
Minburn County No. 27,2006,Barley,66246
Minburn County No. 27,2011,Barley,56768
Minburn County No. 27,2016,Barley,58898
Minburn County No. 27,2021,Barley,64262
Westlock County,2006,Barley,84397
Westlock County,2011,Barley,65044
Westlock County,2016,Barley,61880
Westlock County,2021,Barley,64903
Woodlands County,2006,Barley,5633
Woodlands County,2011,Barley,8498
Woodlands County,2016,Barley,5626
Woodlands County,2021,Barley,6342
Barrhead County No. 11,2006,Barley,62909
Barrhead County No. 11,2011,Barley,41461
Barrhead County No. 11,2016,Barley,49078
Barrhead County No. 11,2021,Barley,52484
Beaver County,2006,Barley,55336
Beaver County,2011,Barley,36791
Beaver County,2016,Barley,34454
Beaver County,2021,Barley,54196
Forty Mile County No. 8,2006,Barley,70003
Forty Mile County No. 8,2011,Barley,50371
Forty Mile County No. 8,2016,Barley,59905
Forty Mile County No. 8,2021,Barley,99029
Cypress County,2006,Barley,33480
Cypress County,2011,Barley,25115
Cypress County,2016,Barley,32413
Cypress County,2021,Barley,51661
Willow Creek No. 26,2006,Barley,153361
Willow Creek No. 26,2011,Barley,119280
Willow Creek No. 26,2016,Barley,106851
Willow Creek No. 26,2021,Barley,110053
Lethbridge County,2006,Barley,164227
Lethbridge County,2011,Barley,115228
Lethbridge County,2016,Barley,92621
Lethbridge County,2021,Barley,183658
"Taber, M.D.",2006,Barley,72604
"Taber, M.D.",2011,Barley,74885
"Taber, M.D.",2016,Barley,63682
"Taber, M.D.",2021,Barley,70319
Pincher Creek No. 9,2006,Barley,86886
Pincher Creek No. 9,2011,Barley,93180
Pincher Creek No. 9,2016,Barley,52865
Pincher Creek No. 9,2021,Barley,45946
Special Area No. 2,2006,Barley,35031
Special Area No. 2,2011,Barley,37815
Special Area No. 2,2016,Barley,26382
Special Area No. 2,2021,Barley,34146
Special Area No. 3,2006,Barley,64041
Special Area No. 3,2011,Barley,45941
Special Area No. 3,2016,Barley,28972
Special Area No. 3,2021,Barley,45562
Special Area No. 4,2006,Barley,20856
Special Area No. 4,2011,Barley,34874
Special Area No. 4,2016,Barley,26618
Special Area No. 4,2021,Barley,34479
Vulcan County,2006,Barley,192226
Vulcan County,2011,Barley,166836
Vulcan County,2016,Barley,188258
Vulcan County,2021,Barley,115525
Foothills County,2006,Barley,109661
Foothills County,2011,Barley,86922
Foothills County,2016,Barley,70715
Foothills County,2021,Barley,90149
Rocky View County,2006,Barley,149779
Rocky View County,2011,Barley,134726
Rocky View County,2016,Barley,129546
Rocky View County,2021,Barley,131923
Calgary,2006,Barley,13637
Calgary,2011,Barley,7600
Calgary,2016,Barley,16027
Calgary,2021,Barley,8508
Mountain View County,2006,Barley,158826
Mountain View County,2011,Barley,160852
Mountain View County,2016,Barley,118334
Mountain View County,2021,Barley,122991
Provost No. 52,2006,Barley,58987
Provost No. 52,2011,Barley,48908
Provost No. 52,2016,Barley,49145
Provost No. 52,2021,Barley,59995
Smoky River No. 130,2006,Barley,19237
Smoky River No. 130,2011,Barley,9539
Smoky River No. 130,2016,Barley,16940
Smoky River No. 130,2021,Barley,44588
Vermilion River County,2006,Barley,129037
Vermilion River County,2011,Barley,99221
Vermilion River County,2016,Barley,82634
Vermilion River County,2021,Barley,100721
Northern Sunrise County,2006,Barley,4620
Northern Sunrise County,2011,Barley,6584
Northern Sunrise County,2016,Barley,5648
Northern Sunrise County,2021,Barley,29656
Big Lakes County,2006,Barley,15825
Big Lakes County,2011,Barley,10901
Big Lakes County,2016,Barley,8617
Big Lakes County,2021,Barley,9491
Lac Ste. Anne County,2006,Barley,21445
Lac Ste. Anne County,2011,Barley,30636
Lac Ste. Anne County,2016,Barley,19486
Lac Ste. Anne County,2021,Barley,20517
Birch Hills County,2006,Barley,29007
Birch Hills County,2011,Barley,31167
Birch Hills County,2016,Barley,25842
Birch Hills County,2021,Barley,54132
Spirit River No. 133,2006,Barley,5231
Spirit River No. 133,2011,Barley,2642
Spirit River No. 133,2016,Barley,7492
Spirit River No. 133,2021,Barley,17445
Saddle Hills County,2006,Barley,15843
Saddle Hills County,2011,Barley,18170
Saddle Hills County,2016,Barley,17269
Saddle Hills County,2021,Barley,33459
Fairview No. 136,2006,Barley,20962
Fairview No. 136,2011,Barley,10304
Fairview No. 136,2016,Barley,7440
Fairview No. 136,2021,Barley,17785
Brazeau County,2006,Barley,4919
Brazeau County,2011,Barley,4369
Brazeau County,2016,Barley,4034
Brazeau County,2021,Barley,3266
Parkland County,2006,Barley,33582
Parkland County,2011,Barley,28335
Parkland County,2016,Barley,31766
Parkland County,2021,Barley,28626
Strathcona County,2006,Barley,17953
Strathcona County,2011,Barley,13602
Strathcona County,2016,Barley,15035
Strathcona County,2021,Barley,17815
Sturgeon County,2006,Barley,57914
Sturgeon County,2011,Barley,44883
Sturgeon County,2016,Barley,48168
Sturgeon County,2021,Barley,55801
Mackenzie County,2006,Barley,13395
Mackenzie County,2011,Barley,13129
Mackenzie County,2016,Barley,24231
Mackenzie County,2021,Barley,84961
Clear Hills,2006,Barley,26899
Clear Hills,2011,Barley,32646
Clear Hills,2016,Barley,20883
Clear Hills,2021,Barley,48684
Greenview No. 16,2006,Barley,14253
Greenview No. 16,2011,Barley,18101
Greenview No. 16,2016,Barley,17914
Greenview No. 16,2021,Barley,27576
Grande Prairie County No. 1,2006,Barley,72908
Grande Prairie County No. 1,2011,Barley,63127
Grande Prairie County No. 1,2016,Barley,73873
Grande Prairie County No. 1,2021,Barley,78092
Bonnyville No. 87,2006,Barley,32277
Bonnyville No. 87,2011,Barley,26761
Bonnyville No. 87,2016,Barley,23576
Bonnyville No. 87,2021,Barley,22939
St. Paul County No. 19,2006,Barley,50690
St. Paul County No. 19,2011,Barley,48671
St. Paul County No. 19,2016,Barley,50866
St. Paul County No. 19,2021,Barley,50995
Smoky Lake County,2006,Barley,27693
Smoky Lake County,2011,Barley,22299
Smoky Lake County,2016,Barley,21149
Smoky Lake County,2021,Barley,25676
Peace No. 135,2006,Barley,8875
Peace No. 135,2011,Barley,4399
Peace No. 135,2016,Barley,3559
Peace No. 135,2021,Barley,16957
Crowsnest Pass,2006,Barley,0
Bighorn No. 8,2006,Barley,0
Bighorn No. 8,2011,Barley,0
Bighorn No. 8,2016,Barley,0
Bighorn No. 8,2021,Barley,0
Improvement District No. 12 Jasper Park,2011,Barley,0
Improvement District No. 12 Jasper Park,2016,Barley,0
Improvement District No. 12 Jasper Park,2021,Barley,0
Ranchland No. 66,2006,Barley,435
Ranchland No. 66,2011,Barley,0
Ranchland No. 66,2016,Barley,0
Ranchland No. 66,2021,Barley,0
Wood Buffalo,2016,Barley,0
Wood Buffalo,2021,Barley,0
Improvement District No. 24 Wood Buffalo,2016,Barley,0
Improvement District No. 24 Wood Buffalo,2021,Barley,0
Leduc County,2006,Barley,57622
Leduc County,2011,Barley,58694
Leduc County,2016,Barley,59886
Leduc County,2021,Barley,57011
Wetaskiwin County No. 10,2006,Barley,57716
Wetaskiwin County No. 10,2011,Barley,58086
Wetaskiwin County No. 10,2016,Barley,50575
Wetaskiwin County No. 10,2021,Barley,51084
Northern Lights County,2006,Barley,32248
Northern Lights County,2011,Barley,27939
Northern Lights County,2016,Barley,31541
Northern Lights County,2021,Barley,50444
Thorhild County,2006,Barley,27139
Thorhild County,2011,Barley,29643
Thorhild County,2016,Barley,24892
Thorhild County,2021,Barley,21683
Athabasca County,2006,Barley,31296
Athabasca County,2011,Barley,20262
Athabasca County,2016,Barley,25195
Athabasca County,2021,Barley,30773
Lesser Slave River No.124,2006,Barley,2509
Lesser Slave River No.124,2011,Barley,2779
Lesser Slave River No.124,2016,Barley,2039
Lesser Slave River No.124,2021,Barley,0
Lamont County,2006,Barley,61059
Lamont County,2011,Barley,58110
Lamont County,2016,Barley,54113
Lamont County,2021,Barley,50400
Two Hills County No. 21,2006,Barley,60984
Two Hills County No. 21,2011,Barley,50189
Two Hills County No. 21,2016,Barley,49496
Two Hills County No. 21,2021,Barley,48065
Yellowhead County,2006,Barley,17575
Yellowhead County,2011,Barley,15790
Yellowhead County,2016,Barley,0
Yellowhead County,2021,Barley,26945
