CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805031,Starland County,2001,Pigs (number of)
4805031,Starland County,2006,Pigs (number of),,31367.00000
4805031,Starland County,2011,Pigs (number of),,29348.00000
4805031,Starland County,2016,Pigs (number of),,58575.00000
4805031,Starland County,2021,Pigs (number of),,35116.00000
4805041,Kneehill County,2021,Pigs (number of),,67842.00000
4805041,Kneehill County,2001,Pigs (number of)
4805041,Kneehill County,2006,Pigs (number of),,96720.00000
4805041,Kneehill County,2011,Pigs (number of),,46591.00000
4805041,Kneehill County,2016,Pigs (number of),,44613.00000
4802001,Warner County No. 5,2001,Pigs (number of)
4802001,Warner County No. 5,2006,Pigs (number of),,80683.00000
4802001,Warner County No. 5,2011,Pigs (number of),,88368.00000
4802001,Warner County No. 5,2016,Pigs (number of),,104428.00000
4802001,Warner County No. 5,2021,Pigs (number of),,83733.00000
4807049,Wainwright No. 61,2021,Pigs (number of),,106875.00000
4807049,Wainwright No. 61,2001,Pigs (number of)
4807049,Wainwright No. 61,2006,Pigs (number of),,67000.00000
4807049,Wainwright No. 61,2011,Pigs (number of),,55785.00000
4807049,Wainwright No. 61,2016,Pigs (number of),,92479.00000
4808001,Red Deer County,2001,Pigs (number of)
4808001,Red Deer County,2006,Pigs (number of),,75439.00000
4808001,Red Deer County,2011,Pigs (number of),,87015.00000
4808001,Red Deer County,2016,Pigs (number of),,52460.00000
4808001,Red Deer County,2021,Pigs (number of),,61647.00000
4805012,Wheatland County,2021,Pigs (number of),,208307.00000
4805012,Wheatland County,2001,Pigs (number of)
4805012,Wheatland County,2006,Pigs (number of),,155947.00000
4805012,Wheatland County,2011,Pigs (number of),,26765.00000
4805012,Wheatland County,2016,Pigs (number of),,94798.00000
4807019,Stettler County No. 6,2001,Pigs (number of)
4807019,Stettler County No. 6,2006,Pigs (number of),,59299.00000
4807019,Stettler County No. 6,2011,Pigs (number of),,50158.00000
4807019,Stettler County No. 6,2016,Pigs (number of),,37061.00000
4807019,Stettler County No. 6,2021,Pigs (number of),,64822.00000
4808022,Lacombe County,2021,Pigs (number of),,122294.00000
4808022,Lacombe County,2001,Pigs (number of)
4808022,Lacombe County,2006,Pigs (number of),,203665.00000
4808022,Lacombe County,2011,Pigs (number of),,93684.00000
4808022,Lacombe County,2016,Pigs (number of),,83494.00000
4807031,Flagstaff County,2001,Pigs (number of)
4807031,Flagstaff County,2006,Pigs (number of)
4807031,Flagstaff County,2011,Pigs (number of)
4807031,Flagstaff County,2016,Pigs (number of)
4807031,Flagstaff County,2021,Pigs (number of),,14643.00000
4807011,Paintearth County No. 18,2016,Pigs (number of),,21202.00000
4807011,Paintearth County No. 18,2001,Pigs (number of)
4807011,Paintearth County No. 18,2006,Pigs (number of),,31364.00000
4807011,Paintearth County No. 18,2011,Pigs (number of),,25837.00000
4807011,Paintearth County No. 18,2021,Pigs (number of)
4810001,Camrose County,2001,Pigs (number of)
4810001,Camrose County,2006,Pigs (number of),,26696.00000
4810001,Camrose County,2011,Pigs (number of),,15387.00000
4810001,Camrose County,2016,Pigs (number of),,15456.00000
4810001,Camrose County,2021,Pigs (number of),,23533.00000
4811061,Edmonton,2011,Pigs (number of),,0.00000
4811061,Edmonton,2001,Pigs (number of)
4811061,Edmonton,2006,Pigs (number of)
4811061,Edmonton,2016,Pigs (number of)
4811061,Edmonton,2021,Pigs (number of)
4803001,Cardston County,2001,Pigs (number of)
4803001,Cardston County,2006,Pigs (number of),,46336.00000
4803001,Cardston County,2011,Pigs (number of),,63489.00000
4803001,Cardston County,2016,Pigs (number of),,51318.00000
4803001,Cardston County,2021,Pigs (number of),,52610.00000
4802031,Newell County,2021,Pigs (number of),,39648.00000
4802031,Newell County,2001,Pigs (number of)
4802031,Newell County,2006,Pigs (number of),,37841.00000
4802031,Newell County,2011,Pigs (number of),,23656.00000
4802031,Newell County,2016,Pigs (number of),,37470.00000
4808038,Ponoka County,2001,Pigs (number of)
4808038,Ponoka County,2006,Pigs (number of),,69480.00000
4808038,Ponoka County,2011,Pigs (number of),,57583.00000
4808038,Ponoka County,2021,Pigs (number of)
4808038,Ponoka County,2016,Pigs (number of),,38085.00000
4812037,Lac la Biche County,2016,Pigs (number of),,40.00000
4812037,Lac la Biche County,2001,Pigs (number of)
4812037,Lac la Biche County,2006,Pigs (number of),,182.00000
4812037,Lac la Biche County,2011,Pigs (number of),,29.00000
4812037,Lac la Biche County,2021,Pigs (number of)
4809002,Clearwater County,2001,Pigs (number of)
4809002,Clearwater County,2006,Pigs (number of),,20896.00000
4809002,Clearwater County,2011,Pigs (number of),,19646.00000
4809002,Clearwater County,2021,Pigs (number of)
4809002,Clearwater County,2016,Pigs (number of),,7853.00000
4810026,Minburn County No. 27,2016,Pigs (number of),,9699.00000
4810026,Minburn County No. 27,2001,Pigs (number of)
4810026,Minburn County No. 27,2006,Pigs (number of),,15080.00000
4810026,Minburn County No. 27,2011,Pigs (number of),,8159.00000
4810026,Minburn County No. 27,2021,Pigs (number of)
4813028,Westlock County,2001,Pigs (number of)
4813028,Westlock County,2006,Pigs (number of),,50965.00000
4813028,Westlock County,2011,Pigs (number of),,31621.00000
4813028,Westlock County,2016,Pigs (number of),,32300.00000
4813028,Westlock County,2021,Pigs (number of),,14847.00000
4813029,Woodlands County,2006,Pigs (number of),,319.00000
4813029,Woodlands County,2001,Pigs (number of)
4813029,Woodlands County,2011,Pigs (number of)
4813029,Woodlands County,2016,Pigs (number of)
4813029,Woodlands County,2021,Pigs (number of)
4813018,Barrhead County No. 11,2001,Pigs (number of)
4813018,Barrhead County No. 11,2006,Pigs (number of),,65894.00000
4813018,Barrhead County No. 11,2011,Pigs (number of),,31029.00000
4813018,Barrhead County No. 11,2016,Pigs (number of),,21246.00000
4813018,Barrhead County No. 11,2021,Pigs (number of),,9566.00000
4810016,Beaver County,2021,Pigs (number of),,18395.00000
4810016,Beaver County,2001,Pigs (number of)
4810016,Beaver County,2006,Pigs (number of),,26671.00000
4810016,Beaver County,2011,Pigs (number of),,38826.00000
4810016,Beaver County,2016,Pigs (number of),,19002.00000
4801008,Forty Mile County No. 8,2001,Pigs (number of)
4801008,Forty Mile County No. 8,2006,Pigs (number of),,48446.00000
4801008,Forty Mile County No. 8,2011,Pigs (number of),,31023.00000
4801008,Forty Mile County No. 8,2016,Pigs (number of)
4801008,Forty Mile County No. 8,2021,Pigs (number of),,57843.00000
4801003,Cypress County,2011,Pigs (number of),,14497.00000
4801003,Cypress County,2001,Pigs (number of)
4801003,Cypress County,2006,Pigs (number of),,28743.00000
4801003,Cypress County,2016,Pigs (number of)
4801003,Cypress County,2021,Pigs (number of)
4803018,Willow Creek No. 26,2001,Pigs (number of)
4803018,Willow Creek No. 26,2006,Pigs (number of),,70747.00000
4803018,Willow Creek No. 26,2011,Pigs (number of),,32653.00000
4803018,Willow Creek No. 26,2016,Pigs (number of),,37357.00000
4803018,Willow Creek No. 26,2021,Pigs (number of),,37222.00000
4802011,Lethbridge County,2021,Pigs (number of),,116138.00000
4802011,Lethbridge County,2001,Pigs (number of)
4802011,Lethbridge County,2006,Pigs (number of),,120020.00000
4802011,Lethbridge County,2011,Pigs (number of),,65673.00000
4802011,Lethbridge County,2016,Pigs (number of),,73161.00000
4802021,"Taber, M.D.",2001,Pigs (number of)
4802021,"Taber, M.D.",2006,Pigs (number of),,110760.00000
4802021,"Taber, M.D.",2011,Pigs (number of),,82928.00000
4802021,"Taber, M.D.",2016,Pigs (number of),,73305.00000
4802021,"Taber, M.D.",2021,Pigs (number of),,78394.00000
4803011,Pincher Creek No. 9,2021,Pigs (number of),,20520.00000
4803011,Pincher Creek No. 9,2001,Pigs (number of)
4803011,Pincher Creek No. 9,2006,Pigs (number of),,12831.00000
4803011,Pincher Creek No. 9,2011,Pigs (number of),,54909.00000
4803011,Pincher Creek No. 9,2016,Pigs (number of),,23988.00000
4804004,Special Area No. 2,2001,Pigs (number of)
4804004,Special Area No. 2,2011,Pigs (number of)
4804004,Special Area No. 2,2016,Pigs (number of)
4804004,Special Area No. 2,2021,Pigs (number of)
4804004,Special Area No. 2,2006,Pigs (number of),,60547.00000
4804012,Special Area No. 3,2001,Pigs (number of)
4804012,Special Area No. 3,2006,Pigs (number of)
4804012,Special Area No. 3,2011,Pigs (number of)
4804012,Special Area No. 3,2016,Pigs (number of)
4804012,Special Area No. 3,2021,Pigs (number of)
4804020,Special Area No. 4,2001,Pigs (number of)
4804020,Special Area No. 4,2006,Pigs (number of)
4804020,Special Area No. 4,2011,Pigs (number of)
4804020,Special Area No. 4,2016,Pigs (number of)
4804020,Special Area No. 4,2021,Pigs (number of)
4805001,Vulcan County,2001,Pigs (number of)
4805001,Vulcan County,2006,Pigs (number of),,68745.00000
4805001,Vulcan County,2011,Pigs (number of),,57764.00000
4805001,Vulcan County,2016,Pigs (number of),,86773.00000
4805001,Vulcan County,2021,Pigs (number of),,51644.00000
4806001,Foothills County,2001,Pigs (number of)
4806001,Foothills County,2006,Pigs (number of)
4806001,Foothills County,2011,Pigs (number of)
4806001,Foothills County,2016,Pigs (number of)
4806001,Foothills County,2021,Pigs (number of)
4806014,Rocky View County,2001,Pigs (number of)
4806014,Rocky View County,2006,Pigs (number of),,37625.00000
4806014,Rocky View County,2011,Pigs (number of),,17182.00000
4806014,Rocky View County,2016,Pigs (number of),,37400.00000
4806014,Rocky View County,2021,Pigs (number of),,23190.00000
4806016,Calgary,2011,Pigs (number of),,0.00000
4806016,Calgary,2001,Pigs (number of)
4806016,Calgary,2006,Pigs (number of)
4806016,Calgary,2016,Pigs (number of)
4806016,Calgary,2021,Pigs (number of)
4806028,Mountain View County,2001,Pigs (number of)
4806028,Mountain View County,2011,Pigs (number of)
4806028,Mountain View County,2016,Pigs (number of)
4806028,Mountain View County,2021,Pigs (number of)
4806028,Mountain View County,2006,Pigs (number of),,12938.00000
4807001,Provost No. 52,2001,Pigs (number of)
4807001,Provost No. 52,2006,Pigs (number of)
4807001,Provost No. 52,2011,Pigs (number of)
4807001,Provost No. 52,2016,Pigs (number of)
4807001,Provost No. 52,2021,Pigs (number of)
4819041,Smoky River No. 130,2001,Pigs (number of)
4819041,Smoky River No. 130,2006,Pigs (number of)
4819041,Smoky River No. 130,2011,Pigs (number of)
4819041,Smoky River No. 130,2016,Pigs (number of)
4819041,Smoky River No. 130,2021,Pigs (number of),,89037.00000
4810036,Vermilion River County,2021,Pigs (number of),,39123.00000
4810036,Vermilion River County,2001,Pigs (number of)
4810036,Vermilion River County,2006,Pigs (number of),,34702.00000
4810036,Vermilion River County,2011,Pigs (number of),,19480.00000
4810036,Vermilion River County,2016,Pigs (number of)
4817026,Northern Sunrise County,2001,Pigs (number of)
4817026,Northern Sunrise County,2006,Pigs (number of)
4817026,Northern Sunrise County,2011,Pigs (number of)
4817026,Northern Sunrise County,2016,Pigs (number of)
4817026,Northern Sunrise County,2021,Pigs (number of)
4817027,Big Lakes County,2001,Pigs (number of)
4817027,Big Lakes County,2006,Pigs (number of),,2181.00000
4817027,Big Lakes County,2011,Pigs (number of),,2855.00000
4817027,Big Lakes County,2021,Pigs (number of)
4817027,Big Lakes County,2016,Pigs (number of),,76.00000
4813001,Lac Ste. Anne County,2006,Pigs (number of),,12612.00000
4813001,Lac Ste. Anne County,2001,Pigs (number of)
4813001,Lac Ste. Anne County,2011,Pigs (number of)
4813001,Lac Ste. Anne County,2016,Pigs (number of)
4813001,Lac Ste. Anne County,2021,Pigs (number of)
4819049,Birch Hills County,2001,Pigs (number of)
4819049,Birch Hills County,2006,Pigs (number of)
4819049,Birch Hills County,2011,Pigs (number of),,23621.00000
4819049,Birch Hills County,2016,Pigs (number of),,16829.00000
4819049,Birch Hills County,2021,Pigs (number of),,20081.00000
4819054,Spirit River No. 133,2016,Pigs (number of),,16.00000
4819054,Spirit River No. 133,2001,Pigs (number of)
4819054,Spirit River No. 133,2006,Pigs (number of)
4819054,Spirit River No. 133,2011,Pigs (number of),,0.00000
4819054,Spirit River No. 133,2021,Pigs (number of)
4819059,Saddle Hills County,2001,Pigs (number of)
4819059,Saddle Hills County,2006,Pigs (number of)
4819059,Saddle Hills County,2016,Pigs (number of)
4819059,Saddle Hills County,2021,Pigs (number of)
4819059,Saddle Hills County,2011,Pigs (number of),,634.00000
4819066,Fairview No. 136,2021,Pigs (number of),,3632.00000
4819066,Fairview No. 136,2001,Pigs (number of)
4819066,Fairview No. 136,2006,Pigs (number of),,13702.00000
4819066,Fairview No. 136,2011,Pigs (number of)
4819066,Fairview No. 136,2016,Pigs (number of)
4811032,Brazeau County,2001,Pigs (number of)
4811032,Brazeau County,2006,Pigs (number of)
4811032,Brazeau County,2011,Pigs (number of),,817.00000
4811032,Brazeau County,2021,Pigs (number of)
4811032,Brazeau County,2016,Pigs (number of),,74.00000
4811034,Parkland County,2016,Pigs (number of),,123.00000
4811034,Parkland County,2001,Pigs (number of)
4811034,Parkland County,2006,Pigs (number of),,1700.00000
4811034,Parkland County,2011,Pigs (number of)
4811034,Parkland County,2021,Pigs (number of)
4811052,Strathcona County,2001,Pigs (number of)
4811052,Strathcona County,2006,Pigs (number of)
4811052,Strathcona County,2011,Pigs (number of)
4811052,Strathcona County,2016,Pigs (number of)
4811052,Strathcona County,2021,Pigs (number of)
4811059,Sturgeon County,2001,Pigs (number of)
4811059,Sturgeon County,2006,Pigs (number of),,24223.00000
4811059,Sturgeon County,2011,Pigs (number of),,16979.00000
4811059,Sturgeon County,2016,Pigs (number of),,19764.00000
4811059,Sturgeon County,2021,Pigs (number of),,12583.00000
4817095,Mackenzie County,2016,Pigs (number of),,1318.00000
4817095,Mackenzie County,2001,Pigs (number of)
4817095,Mackenzie County,2006,Pigs (number of),,1289.00000
4817095,Mackenzie County,2011,Pigs (number of),,1067.00000
4817095,Mackenzie County,2021,Pigs (number of)
4817062,Clear Hills,2001,Pigs (number of)
4817062,Clear Hills,2006,Pigs (number of),,4586.00000
4817062,Clear Hills,2011,Pigs (number of),,306.00000
4817062,Clear Hills,2021,Pigs (number of)
4817062,Clear Hills,2016,Pigs (number of),,447.00000
4818015,Greenview No. 16,2016,Pigs (number of),,190.00000
4818015,Greenview No. 16,2001,Pigs (number of)
4818015,Greenview No. 16,2006,Pigs (number of),,588.00000
4818015,Greenview No. 16,2011,Pigs (number of),,284.00000
4818015,Greenview No. 16,2021,Pigs (number of)
4819006,Grande Prairie County No. 1,2001,Pigs (number of)
4819006,Grande Prairie County No. 1,2006,Pigs (number of),,15104.00000
4819006,Grande Prairie County No. 1,2016,Pigs (number of)
4819006,Grande Prairie County No. 1,2021,Pigs (number of)
4819006,Grande Prairie County No. 1,2011,Pigs (number of),,8340.00000
4812004,Bonnyville No. 87,2016,Pigs (number of),,289.00000
4812004,Bonnyville No. 87,2001,Pigs (number of)
4812004,Bonnyville No. 87,2006,Pigs (number of),,1162.00000
4812004,Bonnyville No. 87,2011,Pigs (number of),,113.00000
4812004,Bonnyville No. 87,2021,Pigs (number of)
4812014,St. Paul County No. 19,2001,Pigs (number of)
4812014,St. Paul County No. 19,2006,Pigs (number of),,9934.00000
4812014,St. Paul County No. 19,2011,Pigs (number of)
4812014,St. Paul County No. 19,2021,Pigs (number of)
4812014,St. Paul County No. 19,2016,Pigs (number of),,532.00000
4812022,Smoky Lake County,2016,Pigs (number of),,137.00000
4812022,Smoky Lake County,2001,Pigs (number of)
4812022,Smoky Lake County,2006,Pigs (number of),,1432.00000
4812022,Smoky Lake County,2011,Pigs (number of)
4812022,Smoky Lake County,2021,Pigs (number of)
4819071,Peace No. 135,2001,Pigs (number of)
4819071,Peace No. 135,2006,Pigs (number of)
4819071,Peace No. 135,2011,Pigs (number of)
4819071,Peace No. 135,2016,Pigs (number of)
4819071,Peace No. 135,2021,Pigs (number of)
4815007,Crowsnest Pass,2001,Pigs (number of)
4815007,Crowsnest Pass,2006,Pigs (number of)
4815015,Bighorn No. 8,2001,Pigs (number of)
4815015,Bighorn No. 8,2006,Pigs (number of),,0.00000
4815015,Bighorn No. 8,2011,Pigs (number of),,0.00000
4815015,Bighorn No. 8,2021,Pigs (number of)
4815015,Bighorn No. 8,2016,Pigs (number of),,0.00000
4815037,Improvement District No. 12 Jasper Park,2021,Pigs (number of),,0.00000
4815037,Improvement District No. 12 Jasper Park,2011,Pigs (number of),,0.00000
4815037,Improvement District No. 12 Jasper Park,2016,Pigs (number of),,0.00000
4815045,Ranchland No. 66,2001,Pigs (number of)
4815045,Ranchland No. 66,2006,Pigs (number of),,0.00000
4815045,Ranchland No. 66,2011,Pigs (number of),,0.00000
4815045,Ranchland No. 66,2016,Pigs (number of),,0.00000
4815045,Ranchland No. 66,2021,Pigs (number of),,0.00000
4816037,Wood Buffalo,2021,Pigs (number of),,0.00000
4816037,Wood Buffalo,2016,Pigs (number of),,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2016,Pigs (number of),,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2021,Pigs (number of),,0.00000
4811012,Leduc County,2011,Pigs (number of),,16274.00000
4811012,Leduc County,2001,Pigs (number of)
4811012,Leduc County,2006,Pigs (number of),,19621.00000
4811012,Leduc County,2016,Pigs (number of)
4811012,Leduc County,2021,Pigs (number of)
4811001,Wetaskiwin County No. 10,2001,Pigs (number of)
4811001,Wetaskiwin County No. 10,2006,Pigs (number of),,29049.00000
4811001,Wetaskiwin County No. 10,2011,Pigs (number of)
4811001,Wetaskiwin County No. 10,2021,Pigs (number of)
4811001,Wetaskiwin County No. 10,2016,Pigs (number of),,1809.00000
4817076,Northern Lights County,2016,Pigs (number of),,152.00000
4817076,Northern Lights County,2001,Pigs (number of)
4817076,Northern Lights County,2006,Pigs (number of),,307.00000
4817076,Northern Lights County,2011,Pigs (number of),,82.00000
4817076,Northern Lights County,2021,Pigs (number of)
4813036,Thorhild County,2001,Pigs (number of)
4813036,Thorhild County,2006,Pigs (number of),,424.00000
4813036,Thorhild County,2011,Pigs (number of)
4813036,Thorhild County,2021,Pigs (number of)
4813036,Thorhild County,2016,Pigs (number of),,1287.00000
4813044,Athabasca County,2006,Pigs (number of),,4587.00000
4813044,Athabasca County,2001,Pigs (number of)
4813044,Athabasca County,2011,Pigs (number of)
4813044,Athabasca County,2016,Pigs (number of)
4813044,Athabasca County,2021,Pigs (number of)
4817033,Lesser Slave River No.124,2001,Pigs (number of)
4817033,Lesser Slave River No.124,2006,Pigs (number of)
4817033,Lesser Slave River No.124,2011,Pigs (number of)
4817033,Lesser Slave River No.124,2016,Pigs (number of)
4817033,Lesser Slave River No.124,2021,Pigs (number of)
4810058,Lamont County,2001,Pigs (number of)
4810058,Lamont County,2011,Pigs (number of)
4810058,Lamont County,2016,Pigs (number of)
4810058,Lamont County,2021,Pigs (number of)
4810058,Lamont County,2006,Pigs (number of),,2121.00000
4810048,Two Hills County No. 21,2016,Pigs (number of),,128.00000
4810048,Two Hills County No. 21,2001,Pigs (number of)
4810048,Two Hills County No. 21,2006,Pigs (number of),,9277.00000
4810048,Two Hills County No. 21,2011,Pigs (number of)
4810048,Two Hills County No. 21,2021,Pigs (number of)
4814003,Yellowhead County,2001,Pigs (number of)
4814003,Yellowhead County,2006,Pigs (number of),,2075.00000
4814003,Yellowhead County,2011,Pigs (number of),,65.00000
4814003,Yellowhead County,2021,Pigs (number of)
4814003,Yellowhead County,2016,Pigs (number of),,558.00000
